,Item_id,Amount,Currency,Location,Category,Area,Number_of_rooms,Frontage,Mortgage,Condition,Land_area,Current_floor,Total_floors
0,5165411,408000,AZN,"['Grand Hayat Residence', '8 Noyabr m.', 'Yasamal r.', 'Yasamal q.']",Yeni tikili,178 m²,4.0,1,1,0,0,24.0,27.0
1,5150136,234000,AZN,"['Gənclik m.', 'Respublika stadionu', 'Nərimanov r.']",Yeni tikili,65 m²,2.0,0,0,1,0,6.0,18.0
2,5117823,329000,AZN,"['Xəzər r.', 'Mərdəkan q.']",Torpaq,0,0.0,1,0,0,19 sot,0.0,0.0
3,5193713,143000,AZN,"['Ukrayna dairəsi', 'Əhmədli m.', 'Həzi Aslanov m.', 'Xətai r.', 'Əhmədli q.']",Yeni tikili,75 m²,3.0,1,0,1,0,3.0,17.0
4,5193372,500,AZN,"['20 Yanvar m.', 'Yasamal r.']",Yeni tikili,35 m²,1.0,0,0,1,0,4.0,20.0
5,4286568,50,AZN,['Xətai r.'],Yeni tikili,52 m²,2.0,0,0,1,0,16.0,19.0
6,5194103,285000,AZN,"['Həzi Aslanov m.', 'Xətai r.', 'Həzi Aslanov q.']",Yeni tikili,115 m²,3.0,1,1,1,0,5.0,17.0
7,5193856,600,AZN,"['İnşaatçılar m.', 'Yasamal r.', 'Yeni Yasamal q.']",Yeni tikili,75 m²,3.0,0,0,1,0,8.0,17.0
8,4940552,165000,AZN,"['ASAN Xidmət №3', 'Yasamal bazarı', 'Yasamal r.', 'Yasamal q.']",Yeni tikili,70 m²,2.0,1,0,1,0,4.0,12.0
9,5120026,8500,AZN,"['Port Baku', 'Crescent Bay', 'Cavanşir körpüsü', 'Nəsimi r.']",Yeni tikili,400 m²,5.0,0,0,1,0,17.0,33.0
10,5154942,259000,AZN,"['Nəriman Nərimanov m.', 'Nərimanov r.']",Yeni tikili,95 m²,2.0,1,0,1,0,14.0,16.0
11,5144377,1500,AZN,"['Bayıl parkı', 'Səbail r.']",Yeni tikili,65 m²,2.0,0,0,1,0,7.0,16.0
12,5138864,180000,AZN,"['Xəzər r.', 'Şüvəlan q.']",Həyət evi/Bağ evi,150 m²,4.0,1,0,1,3 sot,0.0,0.0
13,4542167,495000,AZN,"['Xəzər r.', 'Mərdəkan q.']",Həyət evi/Bağ evi,250 m²,5.0,1,1,1,7.2 sot,0.0,0.0
14,5194151,650,AZN,"['Yasamal r.', 'Yasamal q.']",Yeni tikili,70 m²,2.0,0,0,1,0,9.0,17.0
15,5185406,650,AZN,"['Azadlıq Prospekti m.', 'Binəqədi r.']",Yeni tikili,67 m²,3.0,0,0,1,0,15.0,17.0
16,5122950,510000,AZN,"['ASAN Xidmət №2', 'Şah İsmayıl Xətai m.', 'Xətai r.']",Yeni tikili,190 m²,4.0,1,0,1,0,4.0,16.0
17,4876404,345000,AZN,"['Səməd Vurğun parkı', '28 May m.', 'Azərbaycan Dövlət Neft və Sənaye Universiteti', 'Nəsimi r.']",Yeni tikili,108 m²,3.0,1,0,1,0,10.0,14.0
18,5179990,1200,AZN,"['Nizami m.', 'Beşmərtəbə', 'Nəsimi r.']",Yeni tikili,105 m²,3.0,0,0,1,0,10.0,20.0
19,5153860,159900,AZN,"['Əhmədli m.', 'Xətai r.', 'Əhmədli q.']",Köhnə tikili,55 m²,2.0,1,0,1,0,5.0,9.0
20,5121336,600,AZN,"['Neftçi bazası', 'Nəsimi r.']",Həyət evi/Bağ evi,100 m²,4.0,0,0,1,2 sot,0.0,0.0
21,4596994,80,AZN,"['Sirk', 'Qış parkı', 'Zabitlər parkı', 'Nizami m.', '28 May m.', 'Nəsimi r.']",Yeni tikili,38 m²,1.0,0,0,1,0,12.0,20.0
22,4509504,87000,AZN,['Abşeron r.'],Yeni tikili,57.7 m²,3.0,0,0,1,0,4.0,14.0
23,5116034,127000,AZN,['Xətai r.'],Köhnə tikili,60 m²,2.0,1,0,1,0,8.0,9.0
24,5173186,274000,AZN,"['Təhsil Nazirliyi', 'Nəriman Nərimanov m.', 'Nərimanov r.']",Köhnə tikili,140 m²,5.0,1,1,1,0,5.0,5.0
25,5123130,465000,AZN,"['Sea Breeze', 'Sabunçu r.', 'Nardaran q.']",Yeni tikili,93 m²,3.0,1,0,1,0,1.0,4.0
26,5129327,210000,AZN,"['Xəzər r.', 'Mərdəkan q.']",Torpaq,0,0.0,1,0,0,7.5 sot,0.0,0.0
27,5192789,95000,AZN,"['Sabunçu r.', 'Maştağa q.']",Həyət evi/Bağ evi,110 m²,4.0,1,0,1,2.2 sot,0.0,0.0
28,5163010,230000,AZN,"['Neftçilər m.', 'Nizami r.', '8-ci kilometr q.']",Obyekt,36 m²,0.0,1,1,1,0,0.0,0.0
29,4875516,3500,AZN,"['Xəzər r.', 'Mərdəkan q.']",Həyət evi/Bağ evi,280 m²,5.0,0,0,1,7 sot,0.0,0.0
30,4303498,435000,AZN,"['Xəzər r.', 'Mərdəkan q.']",Həyət evi/Bağ evi,200 m²,4.0,1,1,1,5.5 sot,0.0,0.0
31,5127671,228200,AZN,"['Şah İsmayıl Xətai m.', 'Xətai r.', 'Ağ şəhər q.']",Yeni tikili,95.5 m²,2.0,0,0,0,0,5.0,20.0
32,5193167,6000,AZN,"['Sahil m.', 'Xaqani bağı', 'Sahil bağı', 'Nizami kinoteatrı', 'Xalça Muzeyi', 'Pedaqoji Universiteti', '28 May m.', 'Səbail r.']",Yeni tikili,230 m²,4.0,0,0,1,0,2.0,10.0
33,5190647,278000,AZN,"['Beşmərtəbə', 'Mərkəzi Univermaq', 'Nizami m.', 'İçəri Şəhər m.', 'Sahil m.', 'Yasamal r.']",Köhnə tikili,85 m²,3.0,1,0,1,0,3.0,3.0
34,5176307,245000,AZN,"['Xəzər r.', 'Mərdəkan q.']",Həyət evi/Bağ evi,170 m²,4.0,1,0,1,4 sot,0.0,0.0
35,5150735,80000,AZN,[],Həyət evi/Bağ evi,80 m²,3.0,1,0,1,1.2 sot,0.0,0.0
36,5193627,130000,AZN,"['Binəqədi r.', 'M.Ə.Rəsulzadə q.']",Yeni tikili,54 m²,1.0,1,0,1,0,10.0,17.0
37,5120337,335967,AZN,"['Koroğlu m.', 'Nərimanov r.', 'Böyükşor q.']",Yeni tikili,126.8 m²,3.0,1,0,0,0,8.0,16.0
38,5193992,235000,AZN,"['Tibb Universiteti', 'ASAN Xidmət №1', 'Nəsimi r.']",Yeni tikili,90 m²,3.0,1,1,1,0,7.0,16.0
39,5193947,400,AZN,"['İnşaatçılar m.', 'Yasamal r.', 'Yeni Yasamal q.']",Yeni tikili,48 m²,2.0,0,0,1,0,2.0,20.0
40,4103366,510000,AZN,['Xətai r.'],Yeni tikili,145 m²,4.0,1,0,1,0,10.0,18.0
