Unnamed: 0,Item_id,Amount,Currency,Location,Category,Area,Number_of_rooms,Frontage,Mortgage,Condition,Land_area,Current_floor,Total_floors
12,5138864,180000,AZN,"['Xəzər r.', 'Şüvəlan q.']",Həyət evi/Bağ evi,150 m²,4.0,1,0,1,3 sot,0.0,0.0
13,4542167,495000,AZN,"['Xəzər r.', 'Mərdəkan q.']",Həyət evi/Bağ evi,250 m²,5.0,1,1,1,7.2 sot,0.0,0.0
20,5121336,600,AZN,"['Neftçi bazası', 'Nəsimi r.']",Həyət evi/Bağ evi,100 m²,4.0,0,0,1,2 sot,0.0,0.0
27,5192789,95000,AZN,"['Sabunçu r.', 'Maştağa q.']",Həyət evi/Bağ evi,110 m²,4.0,1,0,1,2.2 sot,0.0,0.0
29,4875516,3500,AZN,"['Xəzər r.', 'Mərdəkan q.']",Həyət evi/Bağ evi,280 m²,5.0,0,0,1,7 sot,0.0,0.0
30,4303498,435000,AZN,"['Xəzər r.', 'Mərdəkan q.']",Həyət evi/Bağ evi,200 m²,4.0,1,1,1,5.5 sot,0.0,0.0
34,5176307,245000,AZN,"['Xəzər r.', 'Mərdəkan q.']",Həyət evi/Bağ evi,170 m²,4.0,1,0,1,4 sot,0.0,0.0
35,5150735,80000,AZN,[],Həyət evi/Bağ evi,80 m²,3.0,1,0,1,1.2 sot,0.0,0.0
42,5075150,340000,AZN,"['Xəzər r.', 'Şüvəlan q.']",Həyət evi/Bağ evi,155 m²,4.0,1,1,1,4 sot,0.0,0.0
45,5109481,470000,AZN,"['Xəzər r.', 'Şüvəlan q.']",Həyət evi/Bağ evi,370 m²,5.0,1,1,1,6 sot,0.0,0.0
46,4523256,454000,AZN,"['Xəzər r.', 'Mərdəkan q.']",Həyət evi/Bağ evi,151 m²,4.0,1,0,1,4.3 sot,0.0,0.0
48,5179500,320000,AZN,[],Həyət evi/Bağ evi,300 m²,7.0,1,0,1,12 sot,0.0,0.0
56,5058889,67900,AZN,[],Həyət evi/Bağ evi,80 m²,3.0,1,0,1,0.8 sot,0.0,0.0
60,5169602,85000,AZN,"['Suraxanı r.', 'Hövsan q.']",Həyət evi/Bağ evi,100 m²,4.0,0,0,1,2 sot,0.0,0.0
64,5192356,875000,AZN,"['Xəzər r.', 'Mərdəkan q.']",Həyət evi/Bağ evi,500 m²,7.0,1,0,1,9 sot,0.0,0.0
70,4886113,250000,AZN,[],Həyət evi/Bağ evi,300 m²,8.0,1,0,1,6 sot,0.0,0.0
73,5099037,77000,AZN,"['Abşeron r.', 'Masazır q.']",Həyət evi/Bağ evi,120 m²,4.0,1,0,1,1.3 sot,0.0,0.0
84,5109667,215000,AZN,"['Suraxanı r.', 'Qaraçuxur q.']",Həyət evi/Bağ evi,220 m²,5.0,1,1,0,0.2 sot,0.0,0.0
90,5177134,2250000,AZN,"['Sea Breeze', 'Sabunçu r.', 'Nardaran q.']",Həyət evi/Bağ evi,420 m²,6.0,1,1,1,6.2 sot,0.0,0.0
91,4881980,75000,AZN,[],Həyət evi/Bağ evi,131 m²,5.0,0,0,0,10 sot,0.0,0.0
94,4323490,445000,AZN,"['Xəzər r.', 'Mərdəkan q.']",Həyət evi/Bağ evi,260 m²,5.0,1,0,1,7 sot,0.0,0.0
100,5192430,875000,AZN,"['Xəzər r.', 'Mərdəkan q.']",Həyət evi/Bağ evi,420 m²,9.0,1,0,1,9 sot,0.0,0.0
102,4786958,430000,AZN,"['Xəzər r.', 'Mərdəkan q.']",Həyət evi/Bağ evi,200 m²,4.0,1,1,1,6 sot,0.0,0.0
