,item_id,amount,currency,location,Kateqoriya,Mərtəbə,Sahə,Otaq sayı,Çıxarış,İpoteka,Təmir,Torpaq sahəsi,Binanın növü
0,5071639,175000,AZN,"['Şah İsmayıl Xətai m.', 'Xətai r.']",Yeni tikili,5 / 15,60 m²,1.0,var,var,yoxdur,,
1,5191719,295000,AZN,"['ASAN Xidmət №2', 'Şah İsmayıl Xətai m.', 'Xətai r.']",Yeni tikili,14 / 22,105 m²,2.0,var,,var,,
2,5071285,54000,AZN,"['Abşeron r.', 'Masazır q.']",Yeni tikili,6 / 6,83 m²,2.0,yoxdur,,yoxdur,,
3,5221397,59000,AZN,[],Yeni tikili,5 / 16,43 m²,2.0,yoxdur,,var,,
4,5226347,200000,AZN,"['Sabunçu r.', 'Bakıxanov q.']",Yeni tikili,2 / 14,90 m²,2.0,var,,yoxdur,,
5,5234149,176000,AZN,"['Neapol dairəsi', 'Əhmədli m.', 'Xətai r.', 'Əhmədli q.']",Köhnə tikili,8 / 9,87 m²,3.0,var,var,var,,
6,5049112,298000,AZN,"['Elmlər Akademiyası m.', 'İncəsənət və Mədəniyyət Un.', 'Yasamal r.']",Yeni tikili,14 / 18,113.7 m²,3.0,var,var,yoxdur,,
7,5236410,850,AZN,"['ASAN Xidmət №3', 'Yasamal bazarı', 'Elmlər Akademiyası m.', 'Yasamal r.']",Köhnə tikili,3 / 5,850 m²,1.0,,,var,,
8,3311889,950000,AZN,"['Xəzər r.', 'Mərdəkan q.']",Həyət evi/Bağ evi,,400 m²,,var,,var,16 sot,
9,5210034,290000,AZN,['Xətai r.'],Yeni tikili,7 / 20,128 m²,4.0,var,,var,,
10,5237663,210000,AZN,"['Qara Qarayev m.', 'Nizami r.']",Yeni tikili,10 / 18,81 m²,2.0,var,var,var,,
11,5048747,77000,AZN,"['Abşeron r.', 'Masazır q.']",Yeni tikili,3 / 6,51 m²,2.0,yoxdur,,var,,
12,5235826,167000,AZN,['Səbail r.'],Köhnə tikili,1 / 5,50 m²,2.0,var,,var,,
13,4466743,94820,AZN,[],Yeni tikili,7 / 14,86.2 m²,2.0,yoxdur,var,yoxdur,,
14,5235042,75000,AZN,"['Xətai r.', 'Köhnə Günəşli q.']",Həyət evi/Bağ evi,,80 m²,3.0,yoxdur,,var,1.5 sot,
15,5154779,185000,AZN,"['ASAN Xidmət №3', 'Yasamal bazarı', 'Elmlər Akademiyası m.', 'Yasamal r.']",Köhnə tikili,3 / 5,75 m²,3.0,var,,var,,
16,3459384,7000,AZN,"['Xəzər r.', 'Mərdəkan q.']",Həyət evi/Bağ evi,,500 m²,6.0,,,var,30 sot,
17,5187527,178000,AZN,"['20 Yanvar m.', 'Yasamal r.']",Yeni tikili,18 / 20,53 m²,3.0,var,,var,,
18,5237658,2300,AZN,"['İçəri Şəhər', 'Azneft meydanı', 'İçəri Şəhər m.', 'Azərbaycan kinoteatrı', 'Filarmoniya bağı', 'M.Ə.Sabir parkı', 'Səbail r.']",Ofis,,200 m²,3.0,,,var,,Ev / Mənzil
19,5234062,700,AZN,"['İnşaatçılar m.', 'Yasamal r.']",Köhnə tikili,2 / 9,85 m²,3.0,,,var,,
20,5237356,400,AZN,[],Yeni tikili,9 / 10,62 m²,2.0,,,var,,
21,5010277,218000,AZN,"['Yasamal r.', 'Yeni Yasamal q.']",Yeni tikili,11 / 12,130 m²,3.0,var,var,var,,
22,5234805,165000,AZN,"['Həzi Aslanov m.', 'Xətai r.']",Yeni tikili,8 / 12,90 m²,3.0,var,var,var,,
23,5236791,102000,AZN,"['Sabunçu r.', 'Bakıxanov q.']",Köhnə tikili,3 / 5,34 m²,1.0,var,,yoxdur,,
24,5026009,6000,AZN,"['Neftçi bazası', 'Nərimanov r.']",Obyekt,,230 m²,,,,var,,
25,5188827,737000,AZN,"['Port Baku', 'Səməd Vurğun parkı', '28 May m.', 'Nəsimi r.']",Yeni tikili,16 / 18,195 m²,4.0,var,,var,,
26,5085830,195000,AZN,"['İnşaatçılar m.', 'Yasamal r.', 'Yasamal q.']",Köhnə tikili,2 / 5,95 m²,3.0,var,,var,,
27,5156699,104900,AZN,[],Yeni tikili,2 / 9,66 m²,3.0,var,var,var,,
28,5234373,130000,AZN,[],Yeni tikili,1 / 9,103 m²,3.0,var,,var,,
29,5077809,90000,AZN,"['Sabunçu r.', 'Savalan q.']",Həyət evi/Bağ evi,,130 m²,4.0,var,var,var,3 sot,
30,5232284,270000,AZN,"['İncəsənət və Mədəniyyət Un.', 'Mərkəzi Park', 'Dövlət Statistika Komitəsi', 'Elmlər Akademiyası m.', 'Nizami m.', 'Yasamal r.']",Yeni tikili,1 / 16,105 m²,3.0,var,,var,,
31,5232312,208000,AZN,"['Nəriman Nərimanov m.', 'Bakmil m.', 'Nərimanov r.']",Yeni tikili,12 / 14,55 m²,2.0,var,,var,,
32,5202950,116000,AZN,[],Yeni tikili,3 / 4,89 m²,3.0,var,,var,,
33,5231329,800,AZN,"['Bakı Slavyan Universiteti', '28 May m.', 'Azərbaycan Dillər Universiteti', 'Azərbaycan Dövlət Neft və Sənaye Universiteti', 'Nəsimi r.']",Yeni tikili,10 / 16,150 m²,3.0,,,var,,
34,4952997,242000,AZN,"['Həzi Aslanov m.', 'Xətai r.', 'Əhmədli q.']",Yeni tikili,5 / 15,91 m²,3.0,var,,var,,
35,5235113,115000,AZN,[],Yeni tikili,6 / 15,65 m²,2.0,var,,var,,
36,5193953,115000,AZN,['Binəqədi r.'],Yeni tikili,3 / 16,70 m²,2.0,var,var,yoxdur,,
37,4997854,720000,AZN,"['Elmlər Akademiyası m.', 'İncəsənət və Mədəniyyət Un.', 'Yasamal r.']",Yeni tikili,3 / 16,168 m²,4.0,var,var,var,,
38,5201236,299000,AZN,"['Şah İsmayıl Xətai m.', 'Xətai r.']",Yeni tikili,16 / 16,75 m²,2.0,yoxdur,,var,,
39,5178960,1680000,AZN,"['Sabunçu r.', 'Zabrat q.']",Obyekt,,1350 m²,,var,,var,,
40,4785422,84500,AZN,"['Abşeron r.', 'Masazır q.']",Yeni tikili,5 / 8,60 m²,2.0,yoxdur,,var,,
41,5202789,250000,AZN,['Yasamal r.'],Yeni tikili,14 / 20,158 m²,3.0,yoxdur,,var,,
42,5235799,950,AZN,"['Təhsil Nazirliyi', 'Gənclik m.', 'Nərimanov r.']",Yeni tikili,8 / 14,85 m²,2.0,,,var,,
43,5237784,127000,AZN,[],Yeni tikili,6 / 16,93 m²,3.0,var,var,var,,
44,5219547,275000,AZN,"['Tibb Universiteti', 'Nəsimi bazarı', 'ASAN Xidmət №1', 'Park Zorge', 'Nəsimi r.']",Yeni tikili,10 / 17,115 m²,3.0,var,var,yoxdur,,
45,5236890,144000,AZN,"['Xəzər r.', 'Şüvəlan q.']",Torpaq,,8 sot,,var,,,,
46,5233213,2000,AZN,"['Elmlər Akademiyası m.', 'Yasamal r.']",Yeni tikili,8 / 18,105 m²,3.0,,,var,,
47,5041741,385000,AZN,"['Xətai r.', 'Əhmədli q.']",Yeni tikili,6 / 20,153 m²,4.0,var,,var,,
48,5207613,980000,AZN,"['Gənclik m.', 'Nərimanov r.']",Həyət evi/Bağ evi,,300 m²,7.0,var,var,var,4 sot,
49,5128318,2300,AZN,"['Port Baku', 'Crescent Bay', 'Cavanşir körpüsü', 'Nəsimi r.']",Yeni tikili,11 / 32,90 m²,3.0,,,var,,
50,5207803,72000,AZN,"['Abşeron r.', 'Məmmədli q.']",Həyət evi/Bağ evi,,100 m²,3.0,var,,var,2 sot,
51,5236437,116000,AZN,"['ASAN Xidmət №3', 'Yasamal bazarı', 'Elmlər Akademiyası m.', 'Yasamal r.', 'Yasamal q.']",Köhnə tikili,4 / 5,40 m²,2.0,var,,var,,
52,5229723,43000,AZN,"['Xəzər r.', 'Binə q.']",Həyət evi/Bağ evi,,70 m²,3.0,yoxdur,,var,1.4 sot,
53,5236555,45600,AZN,[],Obyekt,,123 m²,,var,,var,,
54,5143402,295000,AZN,"['ASAN Xidmət №3', 'Yasamal bazarı', 'Elmlər Akademiyası m.', 'Yasamal r.']",Yeni tikili,9 / 15,100 m²,2.0,var,,var,,
55,4699528,345000,AZN,"['Xəzər r.', 'Şüvəlan q.']",Həyət evi/Bağ evi,,200 m²,5.0,var,var,var,3 sot,
56,4837722,1600,AZN,"['Nizami m.', 'Mərkəzi Park', 'Dövlət Statistika Komitəsi', 'Yasamal r.']",Yeni tikili,9 / 9,125 m²,2.0,,,var,,
57,4849250,1760000,AZN,"['Xətai r.', 'Ağ şəhər q.']",Yeni tikili,5 / 8,391 m²,5.0,yoxdur,,yoxdur,,
58,5214495,1100,AZN,"['Tibb Universiteti', 'Nəsimi r.']",Yeni tikili,9 / 27,65 m²,2.0,,,var,,
