Unnamed: 0,Item_id,Amount,Currency,Location,Category,Area,Number_of_rooms,Frontage,Mortgage,Condition,Land_area,Current_floor,Total_floors
19,5153860,159900,AZN,"['Əhmədli m.', 'Xətai r.', 'Əhmədli q.']",Köhnə tikili,55 m²,2.0,1,0,1,0,5.0,9.0
23,5116034,127000,AZN,['Xətai r.'],Köhnə tikili,60 m²,2.0,1,0,1,0,8.0,9.0
24,5173186,274000,AZN,"['Təhsil Nazirliyi', 'Nəriman Nərimanov m.', 'Nərimanov r.']",Köhnə tikili,140 m²,5.0,1,1,1,0,5.0,5.0
33,5190647,278000,AZN,"['Beşmərtəbə', 'Mərkəzi Univermaq', 'Nizami m.', 'İçəri Şəhər m.', 'Sahil m.', 'Yasamal r.']",Köhnə tikili,85 m²,3.0,1,0,1,0,3.0,3.0
47,5192975,165000,AZN,"['Memar Əcəmi m.', 'Nəsimi r.', '4-cü mikrorayon q.']",Köhnə tikili,75 m²,3.0,1,0,1,0,4.0,5.0
62,5176951,225000,AZN,"['DİM', 'Neftçi bazası', 'Nərimanov r.', 'Gənclik m.']",Köhnə tikili,110 m²,4.0,1,1,0,0,5.0,9.0
68,5163785,590,AZN,"['DİM', 'Neftçi bazası', 'Gənclik m.', 'Nərimanov r.']",Köhnə tikili,46 m²,2.0,0,0,1,0,2.0,5.0
72,5193236,149000,AZN,"['Suraxanı r.', 'Qaraçuxur q.']",Köhnə tikili,75 m²,3.0,1,1,1,0,6.0,9.0
75,5190410,245000,AZN,"['Nəriman Nərimanov m.', 'Nərimanov r.']",Köhnə tikili,70 m²,3.0,1,1,1,0,2.0,5.0
78,5189523,233000,AZN,"['Neapol dairəsi', 'Əhmədli m.', 'Xətai r.', 'Əhmədli q.']",Köhnə tikili,120 m²,5.0,1,0,1,0,8.0,9.0
79,5163359,146000,AZN,"['Həzi Aslanov m.', 'Xətai r.', 'Əhmədli q.']",Köhnə tikili,78 m²,3.0,1,0,1,0,1.0,5.0
85,5134107,104000,AZN,"['Ayna Sultanova heykəli', 'Binəqədi r.', '8-ci mikrorayon q.']",Köhnə tikili,40 m²,1.0,1,0,1,0,4.0,5.0
89,5114350,92800,AZN,"['Suraxanı r.', 'Yeni Günəşli q.']",Köhnə tikili,37 m²,1.0,1,1,1,0,3.0,9.0
92,4957483,72000,AZN,[],Köhnə tikili,55 m²,2.0,1,0,1,0,5.0,5.0
95,5184840,169000,AZN,"['Binəqədi r.', '9-cu mikrorayon q.']",Köhnə tikili,80 m²,3.0,1,1,1,0,8.0,9.0
96,5103810,450,AZN,"['Həzi Aslanov m.', 'Xətai r.']",Köhnə tikili,50 m²,2.0,0,0,1,0,4.0,9.0
101,4691137,500,AZN,"['Qara Qarayev m.', 'Neftçilər m.', 'Nizami r.']",Köhnə tikili,70 m²,2.0,0,0,1,0,3.0,5.0
129,4860082,324900,AZN,['Səbail r.'],Köhnə tikili,170 m²,5.0,1,0,1,0,5.0,9.0
141,5194403,130000,AZN,"['Memar Əcəmi m.', 'Nəsimi r.', '5-ci mikrorayon q.']",Köhnə tikili,55 m²,2.0,1,0,1,0,4.0,5.0
146,4255960,420000,AZN,"['Beşmərtəbə', 'Nizami m.', 'Yasamal r.']",Köhnə tikili,120 m²,4.0,1,0,1,0,4.0,7.0
152,4848960,650,AZN,"['Ayna Sultanova heykəli', 'Binəqədi r.', '8-ci mikrorayon q.']",Köhnə tikili,70 m²,3.0,0,0,1,0,7.0,9.0
157,5192919,750,AZN,"['Bayıl parkı', 'Səbail r.']",Köhnə tikili,85 m²,3.0,0,0,1,0,2.0,4.0
158,5143960,175000,AZN,"['Azadlıq Prospekti m.', 'Binəqədi r.']",Köhnə tikili,65 m²,3.0,1,1,1,0,1.0,9.0
161,5193017,98500,AZN,"['Memar Əcəmi m.', '20 Yanvar m.', 'Nəsimi r.', '5-ci mikrorayon q.']",Köhnə tikili,45 m²,2.0,1,0,1,0,4.0,5.0
168,5123438,199000,AZN,"['Rəssamlıq Akademiyası', 'Nəriman Nərimanov parkı', 'Nəriman Nərimanov m.', 'Nərimanov r.']",Köhnə tikili,85 m²,3.0,1,0,1,0,3.0,5.0
177,4976596,250000,AZN,"['Texniki Universiteti', 'Hüseyn Cavid parkı', 'Space TV', 'Elmlər Akademiyası m.', 'Yasamal r.']",Köhnə tikili,85 m²,3.0,1,0,1,0,4.0,5.0
178,5017166,204000,AZN,"['Nəsimi m.', 'Azadlıq Prospekti m.', 'Nəsimi r.']",Köhnə tikili,90 m²,3.0,1,1,1,0,7.0,9.0
181,5162219,136000,AZN,"['Suraxanı r.', 'Yeni Günəşli q.']",Köhnə tikili,85 m²,3.0,1,1,1,0,5.0,9.0
182,5108265,192000,AZN,"['İnşaatçılar m.', 'Yasamal r.']",Köhnə tikili,76 m²,3.0,1,1,1,0,5.0,9.0
185,5159550,139000,AZN,"['Xalqlar Dostluğu m.', 'Nizami r.', '8-ci kilometr q.']",Köhnə tikili,55 m²,2.0,1,1,1,0,10.0,10.0
186,5192812,100000,AZN,"['Şərq bazarı', '28 May m.', 'Nərimanov r.']",Köhnə tikili,40 m²,2.0,1,0,1,0,1.0,3.0
189,5074714,225000,AZN,"['Binəqədi r.', '8-ci mikrorayon q.']",Köhnə tikili,83 m²,3.0,1,1,1,0,8.0,9.0
190,4818252,165000,AZN,"['Həzi Aslanov m.', 'Xətai r.']",Köhnə tikili,80 m²,3.0,1,1,1,0,7.0,9.0
196,4881897,148000,AZN,"['Neftçilər m.', 'Nizami r.']",Köhnə tikili,70 m²,3.0,1,1,1,0,3.0,9.0
197,4416553,115000,AZN,"['Nəsimi m.', 'Zərifə Əliyeva adına park', 'Binəqədi r.', '6-cı mikrorayon q.']",Köhnə tikili,60 m²,3.0,1,0,1,0,5.0,5.0
205,5193518,138500,AZN,['Xətai r.'],Köhnə tikili,80 m²,3.0,1,0,1,0,8.0,9.0
215,5193476,120000,AZN,"['Nəriman Nərimanov parkı', 'Rəssamlıq Akademiyası', 'Nəriman Nərimanov m.', 'Nərimanov r.']",Köhnə tikili,40 m²,2.0,1,0,1,0,4.0,5.0
216,5183255,163000,AZN,"['Binəqədi r.', '7-ci mikrorayon q.']",Köhnə tikili,80 m²,3.0,1,0,1,0,5.0,5.0
226,5114928,167500,AZN,"['Nərimanov heykəli', 'Sovetski', 'İçəri Şəhər m.', 'Yasamal r.', 'Yasamal q.']",Köhnə tikili,60 m²,2.0,1,1,1,0,7.0,7.0
227,5181864,142000,AZN,"['Xalqlar Dostluğu m.', 'Xətai r.', 'Əhmədli q.']",Köhnə tikili,65 m²,2.0,1,1,1,0,9.0,9.0
229,4314646,250000,AZN,"['Bakı Slavyan Universiteti', '28 May m.', 'Azərbaycan Dillər Universiteti', 'Azərbaycan Dövlət Neft və Sənaye Universiteti', 'Xətai r.', 'Ağ şəhər q.']",Köhnə tikili,75 m²,3.0,1,0,1,0,2.0,5.0
247,5179740,130000,AZN,"['Memar Əcəmi m.', 'Nəsimi r.', '4-cü mikrorayon q.']",Köhnə tikili,60 m²,2.0,1,0,1,0,2.0,5.0
253,3872432,60,AZN,"['Nizami m.', 'Beşmərtəbə', 'Nəsimi r.']",Köhnə tikili,120 m²,3.0,0,0,1,0,3.0,4.0
255,5193483,125000,AZN,"['Memar Əcəmi m.', 'Nəsimi r.']",Köhnə tikili,50 m²,2.0,1,0,1,0,1.0,5.0
256,5133053,142000,AZN,"['Əhmədli m.', 'Xətai r.', 'Əhmədli q.']",Köhnə tikili,60 m²,2.0,1,1,1,0,9.0,9.0
259,5193527,450,AZN,"['Memar Əcəmi m.', 'Nəsimi r.', '4-cü mikrorayon q.']",Köhnə tikili,40 m²,2.0,0,0,1,0,2.0,5.0
260,5193915,130000,AZN,"['Azadlıq Prospekti m.', 'Binəqədi r.', '7-ci mikrorayon q.']",Köhnə tikili,58 m²,2.0,1,0,1,0,3.0,5.0
283,5191227,113000,AZN,"['Yasamal bazarı', 'ASAN Xidmət №3', 'İnşaatçılar m.', 'Elmlər Akademiyası m.', 'Yasamal r.', 'Yasamal q.']",Köhnə tikili,36 m²,1.0,1,0,1,0,3.0,5.0
287,5192976,165000,AZN,"['Əhmədli m.', 'Xətai r.', 'Əhmədli q.']",Köhnə tikili,65 m²,3.0,1,0,1,0,8.0,9.0
290,5193000,600,AZN,"['Memar Əcəmi m.', 'Nəsimi r.', '4-cü mikrorayon q.']",Köhnə tikili,65 m²,2.0,0,0,1,0,4.0,5.0
