Unnamed: 0,Item_id,Amount,Currency,Location,Category,Area,Number_of_rooms,Frontage,Mortgage,Condition,Land_area,Current_floor,Total_floors
28,5163010,230000,AZN,"['Neftçilər m.', 'Nizami r.', '8-ci kilometr q.']",Obyekt,36 m²,0.0,1,1,1,0,0.0,0.0
43,5180594,495000,AZN,"['Ayna Sultanova heykəli', 'Nərimanov r.']",Obyekt,380 m²,0.0,1,0,1,0,0.0,0.0
51,5192827,4000,AZN,"['Nəriman Nərimanov m.', 'Nəriman Nərimanov parkı', 'Nərimanov r.']",Obyekt,100 m²,0.0,0,0,1,0,0.0,0.0
112,4982779,4800000,AZN,"['Səbail r.', '20-ci sahə q.']",Obyekt,1775 m²,0.0,1,0,1,0,0.0,0.0
174,5094049,3000,AZN,[],Obyekt,450 m²,0.0,0,0,1,0,0.0,0.0
183,5187352,372000,AZN,"['28 May m.', 'Azərbaycan Dövlət Neft və Sənaye Universiteti', 'Bakı Musiqi Akademiyası', 'Səməd Vurğun parkı', 'Milli Konservatoriya', 'Sahil m.', 'Nəsimi r.']",Obyekt,93 m²,0.0,0,0,0,0,0.0,0.0
194,4743303,349000,AZN,"['Suraxanı r.', 'Bülbülə q.']",Obyekt,220 m²,0.0,1,0,1,0,0.0,0.0
234,5193974,1000,AZN,"['Xalqlar Dostluğu m.', 'Nizami r.', '8-ci kilometr q.']",Obyekt,45 m²,0.0,0,0,1,0,0.0,0.0
295,5168424,850,AZN,"['Grand Hayat Residence', '8 Noyabr m.', 'Nərimanov r.']",Obyekt,30 m²,0.0,0,0,1,0,0.0,0.0
310,4584254,2500,AZN,"['Səbail r.', 'Badamdar q.']",Obyekt,630 m²,0.0,0,0,1,0,0.0,0.0
370,5133381,900000,AZN,"['Prezident parkı', 'Dövlət İdarəçilik Akademiyası', 'Filarmoniya bağı', 'İçəri Şəhər m.', 'Şəlalə parkı', 'Axundov bağı', 'İqtisad Universiteti', 'Səbail r.']",Obyekt,213 m²,0.0,1,0,1,0,0.0,0.0
375,5160620,8000,AZN,"['Sahil m.', 'Sahil bağı', 'Xaqani bağı', 'Xalça Muzeyi', 'Pedaqoji Universiteti', 'Nizami kinoteatrı', 'Səbail r.']",Obyekt,130 m²,0.0,0,0,1,0,0.0,0.0
378,5096153,420000,AZN,"['Sirk', 'Azərbaycan Dillər Universiteti', 'Bakı Slavyan Universiteti', 'Qış parkı', '28 May m.', 'Nizami m.', 'Nəsimi r.']",Obyekt,150 m²,0.0,1,0,1,0,0.0,0.0
392,5192906,2300,AZN,"['Nəriman Nərimanov parkı', 'Nəriman Nərimanov m.', 'Rəssamlıq Akademiyası', 'Nərimanov r.']",Obyekt,180 m²,0.0,0,0,1,0,0.0,0.0
398,5182302,2900000,AZN,"['Elmlər Akademiyası m.', 'Yasamal r.', 'Yasamal q.']",Obyekt,540 m²,0.0,1,0,1,0,0.0,0.0
415,4877377,1650000,AZN,"['Abşeron r.', 'Novxanı q.']",Obyekt,60 m²,0.0,1,0,1,0,0.0,0.0
422,4596462,5000000,AZN,[],Obyekt,5000 m²,0.0,1,0,1,0,0.0,0.0
426,5193171,250000,AZN,"['Avtovağzal m.', 'Binəqədi r.', 'Biləcəri q.']",Obyekt,210 m²,0.0,0,0,1,0,0.0,0.0
463,5148259,900,AZN,"['Şərq bazarı', 'Nərimanov r.']",Obyekt,350 m²,0.0,0,0,1,0,0.0,0.0
487,5129101,850000,AZN,"['Elmlər Akademiyası m.', 'Hüseyn Cavid parkı', 'Bakı Dövlət Universiteti', 'Texniki Universiteti', 'Yasamal r.']",Obyekt,127 m²,0.0,1,0,1,0,0.0,0.0
518,4940451,3200,AZN,['Yasamal r.'],Obyekt,170 m²,0.0,0,0,1,0,0.0,0.0
