Unnamed: 0,Item_id,Amount,Currency,Location,Category,Area,Number_of_rooms,Frontage,Mortgage,Condition,Land_area,Current_floor,Total_floors
18,5237658,2300,AZN,"['İçəri Şəhər', 'Azneft meydanı', 'İçəri Şəhər m.', 'Azərbaycan kinoteatrı', 'Filarmoniya bağı', 'M.Ə.Sabir parkı', 'Səbail r.']",Ofis,200 m²,3.0,0,0,1,0,0.0,0.0
107,5213279,3000,AZN,"['Nərimanov r.', 'Nəriman Nərimanov m.']",Ofis,380 m²,5.0,0,0,1,0,0.0,0.0
126,5192886,900,AZN,"['Şərq bazarı', '28 May m.', 'Nərimanov r.']",Ofis,50 m²,2.0,0,0,1,0,0.0,0.0
140,5055415,32720,AZN,"['Elmlər Akademiyası m.', 'İnşaatçılar m.', 'Yasamal r.']",Ofis,1636 m²,20.0,0,0,1,0,0.0,0.0
147,5112140,3500,AZN,"['Ağ şəhər', 'Xətai r.', 'Ağ şəhər q.']",Ofis,90 m²,3.0,0,0,1,0,0.0,0.0
331,4937642,12000,AZN,"['Zabitlər parkı', 'Nizami m.', 'Sirk', 'Nəsimi r.', 'Kubinka q.']",Ofis,500 m²,17.0,0,0,1,0,0.0,0.0
335,5185447,5000,AZN,"['Beşmərtəbə', 'Nizami m.', 'Yasamal r.', 'Yasamal q.']",Ofis,320 m²,11.0,0,0,1,0,0.0,0.0
347,4928068,2500,AZN,"['İnşaatçılar m.', 'Yasamal r.']",Ofis,200 m²,6.0,0,0,1,0,0.0,0.0
376,5193370,1000,AZN,"['İnşaatçılar m.', 'Yasamal r.']",Ofis,70 m²,2.0,0,0,1,0,0.0,0.0
420,5234791,1400,AZN,"['Şah İsmayıl Xətai m.', 'Xətai r.']",Ofis,65 m²,2.0,0,0,1,0,0.0,0.0
478,5129061,1600,AZN,"['Şah İsmayıl Xətai m.', 'Xətai r.']",Ofis,124 m²,3.0,0,0,1,0,0.0,0.0
652,5234562,600,AZN,"['Memar Əcəmi m.', 'Nəsimi r.', '2-ci mikrorayon q.']",Ofis,35 m²,1.0,0,0,1,0,0.0,0.0
740,4994205,3500,AZN,"['Ağ şəhər', 'Xətai r.', 'Ağ şəhər q.']",Ofis,100 m²,4.0,0,0,1,0,0.0,0.0
750,5203640,400,AZN,"['Nəriman Nərimanov m.', 'Nərimanov r.']",Ofis,30 m²,1.0,0,0,1,0,0.0,0.0
766,5188952,2000,AZN,"['Azərbaycan Dillər Universiteti', 'Sirk', 'Bakı Slavyan Universiteti', 'Zabitlər parkı', '28 May m.', 'Nəsimi r.']",Ofis,100 m²,4.0,0,0,1,0,0.0,0.0
774,5235013,2500,AZN,"['Nəriman Nərimanov m.', 'Nərimanov r.']",Ofis,220 m²,4.0,0,0,1,0,0.0,0.0
