Unnamed: 0,Item_id,Amount,Currency,Location,Category,Area,Number_of_rooms,Frontage,Mortgage,Condition,Land_area,Current_floor,Total_floors
45,5236890,144000,AZN,"['Xəzər r.', 'Şüvəlan q.']",Torpaq,0,0.0,1,0,0,8 sot,0.0,0.0
69,5230754,8500,AZN,"['Sea Breeze', 'Sabunçu r.', 'Nardaran q.']",Torpaq,0,0.0,1,0,0,12 sot,0.0,0.0
81,5214275,98000,AZN,"['Xəzər r.', 'Türkan q.']",Torpaq,0,0.0,1,0,0,8.1 sot,0.0,0.0
130,4746089,88000,AZN,"['Sabunçu r.', 'Nardaran q.']",Torpaq,0,0.0,1,1,0,11 sot,0.0,0.0
151,4978315,135000,AZN,"['Sabunçu r.', 'Bilgəh q.']",Torpaq,0,0.0,1,0,0,10 sot,0.0,0.0
169,5235650,590000,AZN,['Binəqədi r.'],Torpaq,0,0.0,1,0,0,7 sot,0.0,0.0
170,5236804,1800000,AZN,"['Nizami r.', '8-ci kilometr q.']",Torpaq,0,0.0,1,0,0,30 sot,0.0,0.0
218,5077832,1200000,AZN,[],Torpaq,0,0.0,1,0,0,13800 sot,0.0,0.0
231,5115158,42000,AZN,"['Abşeron r.', 'Novxanı q.']",Torpaq,0,0.0,1,1,0,3 sot,0.0,0.0
260,4802013,155000,AZN,"['Abşeron r.', 'Novxanı q.']",Torpaq,0,0.0,1,1,0,16 sot,0.0,0.0
284,4826068,440000,AZN,"['Sabunçu r.', 'Nardaran q.', 'Sea Breeze']",Torpaq,0,0.0,1,0,0,18 sot,0.0,0.0
292,4600646,350000,AZN,"['Xəzər r.', 'Mərdəkan q.']",Torpaq,0,0.0,1,0,0,20 sot,0.0,0.0
328,4684240,550000,AZN,"['Sabunçu r.', 'Bilgəh q.']",Torpaq,0,0.0,1,0,0,30 sot,0.0,0.0
351,5194335,110000,AZN,"['Sabunçu r.', 'Nardaran q.']",Torpaq,0,0.0,1,0,0,5 sot,0.0,0.0
363,2681520,8500000,AZN,"['Binəqədi r.', 'Xocəsən q.']",Torpaq,0,0.0,1,1,0,500 sot,0.0,0.0
373,5205420,104000,AZN,"['Xəzər r.', 'Mərdəkan q.']",Torpaq,0,0.0,1,1,0,5.2 sot,0.0,0.0
413,5128115,8500,AZN,"['Abşeron r.', 'Qobu q.']",Torpaq,0,0.0,1,0,0,130 sot,0.0,0.0
470,4851108,30000,AZN,"['Sabunçu r.', 'Nardaran q.']",Torpaq,0,0.0,1,0,0,6 sot,0.0,0.0
473,4787943,132000,AZN,"['Sabunçu r.', 'Bilgəh q.']",Torpaq,0,0.0,1,0,0,6.5 sot,0.0,0.0
474,5236461,650000,AZN,"['Abşeron r.', 'Hökməli q.']",Torpaq,0,0.0,1,0,0,32 sot,0.0,0.0
488,5238002,495000,AZN,"['Sabunçu r.', 'Bilgəh q.']",Torpaq,0,0.0,1,0,0,15 sot,0.0,0.0
493,5104378,197000,AZN,[],Torpaq,0,0.0,1,1,0,316 sot,0.0,0.0
512,5231422,45000,AZN,['Nabran r.'],Torpaq,0,0.0,1,0,0,19 sot,0.0,0.0
515,5212030,155000,AZN,"['Şağan q.', 'Xəzər r.']",Torpaq,0,0.0,1,0,0,9 sot,0.0,0.0
536,5200803,60000,AZN,"['Səbail r.', 'Badamdar q.']",Torpaq,0,0.0,1,0,0,3.8 sot,0.0,0.0
