Unnamed: 0,Item_id,Amount,Currency,Location,Category,Area,Number_of_rooms,Frontage,Mortgage,Condition,Land_area,Current_floor,Total_floors
0,5165411,408000,AZN,"['Grand Hayat Residence', '8 Noyabr m.', 'Yasamal r.', 'Yasamal q.']",Yeni tikili,178 m²,4.0,1,1,0,0,24.0,27.0
1,5150136,234000,AZN,"['Gənclik m.', 'Respublika stadionu', 'Nərimanov r.']",Yeni tikili,65 m²,2.0,0,0,1,0,6.0,18.0
3,5193713,143000,AZN,"['Ukrayna dairəsi', 'Əhmədli m.', 'Həzi Aslanov m.', 'Xətai r.', 'Əhmədli q.']",Yeni tikili,75 m²,3.0,1,0,1,0,3.0,17.0
4,5193372,500,AZN,"['20 Yanvar m.', 'Yasamal r.']",Yeni tikili,35 m²,1.0,0,0,1,0,4.0,20.0
5,4286568,50,AZN,['Xətai r.'],Yeni tikili,52 m²,2.0,0,0,1,0,16.0,19.0
6,5194103,285000,AZN,"['Həzi Aslanov m.', 'Xətai r.', 'Həzi Aslanov q.']",Yeni tikili,115 m²,3.0,1,1,1,0,5.0,17.0
7,5193856,600,AZN,"['İnşaatçılar m.', 'Yasamal r.', 'Yeni Yasamal q.']",Yeni tikili,75 m²,3.0,0,0,1,0,8.0,17.0
8,4940552,165000,AZN,"['ASAN Xidmət №3', 'Yasamal bazarı', 'Yasamal r.', 'Yasamal q.']",Yeni tikili,70 m²,2.0,1,0,1,0,4.0,12.0
9,5120026,8500,AZN,"['Port Baku', 'Crescent Bay', 'Cavanşir körpüsü', 'Nəsimi r.']",Yeni tikili,400 m²,5.0,0,0,1,0,17.0,33.0
10,5154942,259000,AZN,"['Nəriman Nərimanov m.', 'Nərimanov r.']",Yeni tikili,95 m²,2.0,1,0,1,0,14.0,16.0
11,5144377,1500,AZN,"['Bayıl parkı', 'Səbail r.']",Yeni tikili,65 m²,2.0,0,0,1,0,7.0,16.0
14,5194151,650,AZN,"['Yasamal r.', 'Yasamal q.']",Yeni tikili,70 m²,2.0,0,0,1,0,9.0,17.0
15,5185406,650,AZN,"['Azadlıq Prospekti m.', 'Binəqədi r.']",Yeni tikili,67 m²,3.0,0,0,1,0,15.0,17.0
16,5122950,510000,AZN,"['ASAN Xidmət №2', 'Şah İsmayıl Xətai m.', 'Xətai r.']",Yeni tikili,190 m²,4.0,1,0,1,0,4.0,16.0
17,4876404,345000,AZN,"['Səməd Vurğun parkı', '28 May m.', 'Azərbaycan Dövlət Neft və Sənaye Universiteti', 'Nəsimi r.']",Yeni tikili,108 m²,3.0,1,0,1,0,10.0,14.0
18,5179990,1200,AZN,"['Nizami m.', 'Beşmərtəbə', 'Nəsimi r.']",Yeni tikili,105 m²,3.0,0,0,1,0,10.0,20.0
21,4596994,80,AZN,"['Sirk', 'Qış parkı', 'Zabitlər parkı', 'Nizami m.', '28 May m.', 'Nəsimi r.']",Yeni tikili,38 m²,1.0,0,0,1,0,12.0,20.0
22,4509504,87000,AZN,['Abşeron r.'],Yeni tikili,57.7 m²,3.0,0,0,1,0,4.0,14.0
25,5123130,465000,AZN,"['Sea Breeze', 'Sabunçu r.', 'Nardaran q.']",Yeni tikili,93 m²,3.0,1,0,1,0,1.0,4.0
31,5127671,228200,AZN,"['Şah İsmayıl Xətai m.', 'Xətai r.', 'Ağ şəhər q.']",Yeni tikili,95.5 m²,2.0,0,0,0,0,5.0,20.0
32,5193167,6000,AZN,"['Sahil m.', 'Xaqani bağı', 'Sahil bağı', 'Nizami kinoteatrı', 'Xalça Muzeyi', 'Pedaqoji Universiteti', '28 May m.', 'Səbail r.']",Yeni tikili,230 m²,4.0,0,0,1,0,2.0,10.0
36,5193627,130000,AZN,"['Binəqədi r.', 'M.Ə.Rəsulzadə q.']",Yeni tikili,54 m²,1.0,1,0,1,0,10.0,17.0
37,5120337,335967,AZN,"['Koroğlu m.', 'Nərimanov r.', 'Böyükşor q.']",Yeni tikili,126.8 m²,3.0,1,0,0,0,8.0,16.0
38,5193992,235000,AZN,"['Tibb Universiteti', 'ASAN Xidmət №1', 'Nəsimi r.']",Yeni tikili,90 m²,3.0,1,1,1,0,7.0,16.0
39,5193947,400,AZN,"['İnşaatçılar m.', 'Yasamal r.', 'Yeni Yasamal q.']",Yeni tikili,48 m²,2.0,0,0,1,0,2.0,20.0
40,4103366,510000,AZN,['Xətai r.'],Yeni tikili,145 m²,4.0,1,0,1,0,10.0,18.0
41,5079727,168000,AZN,"['Binəqədi r.', 'Biləcəri q.']",Yeni tikili,69.1 m²,3.0,1,0,1,0,2.0,16.0
44,5058488,510000,AZN,"['Ağ şəhər', 'Xətai r.', 'Ağ şəhər q.']",Yeni tikili,140 m²,3.0,1,1,0,0,2.0,7.0
49,5175449,1000,AZN,"['28 May m.', 'Azərbaycan Dövlət Neft və Sənaye Universiteti', 'Bakı Slavyan Universiteti', 'Bakı Musiqi Akademiyası', 'Nəsimi r.']",Yeni tikili,80 m²,2.0,0,0,1,0,10.0,14.0
50,5193706,760000,AZN,"['DİM', 'Gənclik m.', 'Nərimanov r.']",Yeni tikili,210 m²,4.0,1,1,1,0,7.0,16.0
52,5042401,60000,AZN,[],Yeni tikili,54 m²,2.0,0,0,1,0,5.0,6.0
53,3853333,368280,AZN,"['Space TV', 'Nərimanov heykəli', 'Texniki Universiteti', 'Yasamal r.', 'Yasamal q.']",Yeni tikili,111.6 m²,2.0,0,0,0,0,8.0,16.0
54,5056614,223000,AZN,"['Rəssamlıq Akademiyası', 'Nəriman Nərimanov m.', 'Nərimanov r.']",Yeni tikili,65 m²,2.0,0,0,1,0,5.0,15.0
55,5118265,350000,AZN,"['Sirk', 'Qış parkı', 'Azərbaycan Dillər Universiteti', 'Zabitlər parkı', '28 May m.', 'Nəsimi r.']",Yeni tikili,132 m²,3.0,1,1,0,0,9.0,15.0
57,5191312,355000,AZN,"['Qış parkı', 'Sirk', 'Bakı Musiqi Akademiyası', 'Milli Konservatoriya', 'Nizami m.', '28 May m.', 'Sahil m.', 'Nəsimi r.']",Yeni tikili,119 m²,3.0,1,0,0,0,7.0,15.0
58,5192725,215000,AZN,"['ASAN Xidmət №1', 'Tibb Universiteti', '8 Noyabr m.', 'Nərimanov r.']",Yeni tikili,65 m²,2.0,1,1,0,0,9.0,18.0
59,5105601,214000,AZN,"['İnşaatçılar m.', 'Yasamal r.', 'Yeni Yasamal q.']",Yeni tikili,120 m²,3.0,1,1,1,0,12.0,18.0
61,5168004,140000,AZN,"['Yasamal r.', 'Yeni Yasamal q.']",Yeni tikili,55 m²,2.0,1,1,1,0,4.0,12.0
63,5096475,162857,AZN,"['Sabunçu r.', 'Nardaran q.', 'Sea Breeze']",Yeni tikili,36.1 m²,1.0,0,0,1,0,9.0,11.0
